ids, Subsector , Gas , Edgar_Class , Edgar_Subsector , Edgar_Sector ,ignore,note,need_better_information_on_what_is_contained, Vars 
23:ippu:ch4,ippu,ch4,IN - Industrial Processes:CH4,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic
24:ippu:n2o,ippu,n2o,IN - Industrial Processes:N2O,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic
25:ippu:c2f6,ippu,c2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals
26:ippu:c2h3f3,ippu,c2h3f3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals
27:ippu:c2hf5,ippu,c2hf5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals
28:ippu:c3f8,ippu,c3f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics
29:ippu:c3h2f6,ippu,c3h2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration
30:ippu:c3h3f5,ippu,c3h3f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration
31:ippu:c3hf7,ippu,c3hf7,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals
32:ippu:c4f10,ippu,c4f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c4f10_ippu_product_use_product_use_ods_other:emission_co2e_c4f10_ippu_production_chemicals
33:ippu:c4f6,ippu,c4f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c4f6_ippu_production_electronics
34:ippu:c4h5f5,ippu,c4h5f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other:emission_co2e_c4h5f5_ippu_production_chemicals
35:ippu:c5f12,ippu,c5f12,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c5f12_ippu_production_chemicals
36:ippu:c5f8,ippu,c5f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c5f8_ippu_production_electronics
37:ippu:c5h2f10,ippu,c5h2f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other
38:ippu:c6f14,ippu,c6f14,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c6f14_ippu_product_use_product_use_ods_other:emission_co2e_c6f14_ippu_production_chemicals
39:ippu:cc4f8,ippu,cc4f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_cc4f8_ippu_production_chemicals:emission_co2e_cc4f8_ippu_production_electronics
40:ippu:cf4,ippu,cf4,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_cf4_ippu_product_use_product_use_ods_other:emission_co2e_cf4_ippu_production_chemicals:emission_co2e_cf4_ippu_production_electronics:emission_co2e_cf4_ippu_production_metals
41:ippu:ch2f2,ippu,ch2f2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch2f2_ippu_production_chemicals:emission_co2e_ch2f2_ippu_production_electronics
42:ippu:ch2fchf2,ippu,ch2fchf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other
43:ippu:ch3cci2f,ippu,ch3cci2f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other
44:ippu:ch3ccif2,ippu,ch3ccif2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other
45:ippu:ch3chf2,ippu,ch3chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other:emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch3chf2_ippu_production_chemicals
46:ippu:ch3f,ippu,ch3f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_ch3f_ippu_production_electronics
47:ippu:chf2cf3,ippu,chf2cf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other:emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf2cf3_ippu_production_chemicals
48:ippu:chf2chf2,ippu,chf2chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other
49:ippu:chf3,ippu,chf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_chf3_ippu_product_use_product_use_ods_other:emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf3_ippu_production_chemicals:emission_co2e_chf3_ippu_production_electronics
50:ippu:hfcs,ippu,hfcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,,"NOTE: can pick this set (HFCs aggregate) or split the individual gasses. Seems to me just calibrating on this makes the most sense, I think we have HFCs, PFCs, and other fluorinated compounds each with their own trajectory groups",,emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_production_metals
51:ippu:other_fcs,ippu,other_fcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,,NOTE: these aren't HFCs,,
52:ippu:pfcs,ippu,pfcs,IN - Industrial Processes:PFC,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_pfcs_ippu_product_use_product_use_ods_other:emission_co2e_pfcs_ippu_production_chemicals:emission_co2e_pfcs_ippu_production_electronics:emission_co2e_pfcs_ippu_production_other_product_manufacturing
